[INFO] [1739202237.557483770] [seekcamera_node]: Seek Camera Manager created and callback registered.
[cameraManagerEventCallback] PRE_AGC (16-bit) streaming started.
[INFO] [1739202251.691303656] [combined_odometry_publisher]: timestamp: 1739202251646715, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8074641802290523, roll: -0.02330055331286359, yaw: 2.109315998326141
[INFO] [1739202251.741209354] [combined_odometry_publisher]: timestamp: 1739202251646715, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8075069329833584, roll: -0.023419705336926423, yaw: 2.109062529868701
[INFO] [1739202251.791254681] [combined_odometry_publisher]: timestamp: 1739202251646715, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8075506861152788, roll: -0.02368058667887123, yaw: 2.1087258211333104
[INFO] [1739202251.841429746] [combined_odometry_publisher]: timestamp: 1739202251771715, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8075789463909752, roll: -0.02377792459426246, yaw: 2.108638282858506
[INFO] [1739202251.891265676] [combined_odometry_publisher]: timestamp: 1739202251771715, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8075554048756334, roll: -0.023517833937107, yaw: 2.108979889668885
[INFO] [1739202251.941314818] [combined_odometry_publisher]: timestamp: 1739202251771715, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8074670697396072, roll: -0.02327322741429742, yaw: 2.1093336392752478
[INFO] [1739202251.991297341] [combined_odometry_publisher]: timestamp: 1739202251909529, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8074554967612366, roll: -0.023266753042469907, yaw: 2.1093577106719685
[INFO] [1739202252.041272116] [combined_odometry_publisher]: timestamp: 1739202251909529, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8074540034730682, roll: -0.02352323988615721, yaw: 2.1090700209544844
[INFO] [1739202252.091204867] [combined_odometry_publisher]: timestamp: 1739202252022711, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8074791056278391, roll: -0.02370793497628806, yaw: 2.108792702229756
[INFO] [1739202252.141245891] [combined_odometry_publisher]: timestamp: 1739202252022711, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.80752073091284, roll: -0.023636073994486594, yaw: 2.1088945640972154
[INFO] [1739202252.191234500] [combined_odometry_publisher]: timestamp: 1739202252146713, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8075243745198516, roll: -0.023444193895911496, yaw: 2.1090987243219597
[INFO] [1739202252.241250688] [combined_odometry_publisher]: timestamp: 1739202252146713, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8075628190009171, roll: -0.023320162934166135, yaw: 2.1092064837991518
[INFO] [1739202252.291314844] [combined_odometry_publisher]: timestamp: 1739202252146713, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.807537552722409, roll: -0.02339205332156342, yaw: 2.1090767216044553
[INFO] [1739202252.341310714] [combined_odometry_publisher]: timestamp: 1739202252271713, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8075748772131379, roll: -0.023572280832434303, yaw: 2.108835249910264
[INFO] [1739202252.391207275] [combined_odometry_publisher]: timestamp: 1739202252271713, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8074803749207119, roll: -0.02365871357182209, yaw: 2.108741052718296
[INFO] [1739202252.441266208] [combined_odometry_publisher]: timestamp: 1739202252397841, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8074168205507201, roll: -0.023509424233638238, yaw: 2.108877819188433
